source,target,relation,description,source_chunk
Ishqbaaaz,Leenesh Mattoo,portrays,Leenesh Mattoo portrays Rudra in Ishqbaaaz,unknown_0
Ishqbaaaz,Dil Boley Oberoi,spinoff,Dil Boley Oberoi is a spinoff series of Ishqbaaaz,unknown_0
Dil Boley Oberoi,Ishqbaaaz,merged,Dil Boley Oberoi ended and its storylines were merged back into Ishqbaaaz,unknown_0
Hotel Tallcorn,Marshalltown,located_in,"The Hotel Tallcorn is located in Marshalltown, Iowa",unknown_0
Hotel Tallcorn,Eppley Hotel Company,built_by,The Hotel Tallcorn was built by the Eppley Hotel Company,unknown_0
Hotel Tallcorn,Tallcorn Towers Apartments,renamed_as,The Hotel Tallcorn was renamed as the Tallcorn Towers Apartments,unknown_0
Hotel Tallcorn,Sheraton Corporation,sold_to,The Hotel Tallcorn was sold to the Sheraton Corporation in 1956,unknown_0
Hotel Tallcorn,National Register of Historic Places,listed_on,The Hotel Tallcorn was listed on the National Register of Historic Places in 2002,unknown_0
Marshalltown citizens,Hotel Tallcorn,contributed_to,"The Marshalltown citizens contributed $120,000 to the Hotel Tallcorn",unknown_0
Rai Bahadur Mohan Singh Oberoi,Oberoi Hotels & Resorts,founded,Rai Bahadur Mohan Singh Oberoi founded Oberoi Hotels & Resorts,unknown_0
Oberoi Hotels & Resorts,India,based_in,Oberoi Hotels & Resorts is based in India,unknown_0
Rai Bahadur Mohan Singh Oberoi,hotelier,instance_of,Rai Bahadur Mohan Singh Oberoi is an instance of a hotelier,unknown_0
Oberoi Hotels & Resorts,hotel company,instance_of,Oberoi Hotels & Resorts is an instance of a hotel company,unknown_0
Hotel Bond,Harry S. Bond,built_by,Hotel Bond was built by Harry S. Bond,unknown_0
Hotel Bond,Bushnell Park,located_near,Hotel Bond is located near Bushnell Park,unknown_0
Hotel Bond,Statler Hotel,competed_with,Hotel Bond competed with Statler Hotel,unknown_0
Hotel Bond,Masaglia Hotel chain,owned_by,Hotel Bond was owned by Masaglia Hotel chain,unknown_0
Hotel Bond,Saint Francis Hospital School of Nursing,occupied_by,Hotel Bond was occupied by Saint Francis Hospital School of Nursing,unknown_0
Hotel Bond,Homewood Suites by Hilton,occupied_by,Hotel Bond was occupied by Homewood Suites by Hilton,unknown_0
Bankruptcy,Hotel Bond,affected,Bankruptcy affected Hotel Bond,unknown_0
Renovation,Hotel Bond,involved,Renovation involved Hotel Bond,unknown_0
Competition,Hotel Bond,involved,Competition involved Hotel Bond,unknown_0
Investment,Hotel Bond,involved,Investment involved Hotel Bond,unknown_0
Oberoi Group,Delhi,head office location,Oberoi Group is headquartered in Delhi,unknown_0
Oberoi Group,India,country of operation,Oberoi Group operates in India,unknown_0
Oberoi Group,hotel company,type of business,Oberoi Group is a hotel company,unknown_0
Oberoi Group,luxury hotels,category of hotels,Oberoi Group owns luxury hotels,unknown_0
founding,Oberoi Group,result of process,Oberoi Group was founded,unknown_0
1934,founding,year of event,Oberoi Group was founded in 1934,unknown_0
Future Fibre Technologies,Melbourne,headquarters,Future Fibre Technologies is headquartered in Melbourne,unknown_0
Future Fibre Technologies,Mountain View,headquarters,Future Fibre Technologies has a head office in Mountain View,unknown_0
Future Fibre Technologies,Dubai,headquarters,Future Fibre Technologies has a head office in Dubai,unknown_0
Future Fibre Technologies,New Delhi,headquarters,Future Fibre Technologies has a head office in New Delhi,unknown_0
Future Fibre Technologies,London,headquarters,Future Fibre Technologies has a head office in London,unknown_0
Future Fibre Technologies,Fiber optic sensing technologies,product,Future Fibre Technologies provides fiber optic sensing technologies,unknown_0
Future Fibre Technologies,Optical fiber intrusion detection systems,product,Future Fibre Technologies provides optical fiber intrusion detection systems,unknown_0
Future Fibre Technologies,1994,founded,Future Fibre Technologies was founded in 1994,unknown_0
289th Military Police Company,Hotel Company,attached to,the 289th Military Police Company is attached to Hotel Company,unknown_0
Hotel Company,3rd Infantry,part of,Hotel Company is part of the 3rd Infantry,unknown_0
3rd Infantry,The Old Guard,part of,the 3rd Infantry is part of The Old Guard,unknown_0
Fort Myer,Virginia,located in,Fort Myer is located in Virginia,unknown_0
289th Military Police Company,1 November 1994,activated on,the 289th Military Police Company was activated on 1 November 1994,unknown_0
Glennwanis Hotel,Glennville,located_in,hotel is located in the town of Glennville,unknown_0
Glennwanis Hotel,Georgia,located_in,hotel is located in the state of Georgia,unknown_0
Glennwanis Hotel,Hughes Hotel,replaced,Glennwanis Hotel was built to replace the Hughes Hotel,unknown_0
Kiwanis,Glennville Hotel Company,related_to,Kiwanis organization was involved in the formation of the Glennville Hotel Company,unknown_0
Glennville Hotel Company,Glennwanis Hotel,built,company built the Glennwanis Hotel,unknown_0
Hughes Hotel,1920,burned,hotel burned in 1920,unknown_0
Hughes Hotel,1905,built,hotel was built in 1905,unknown_0
Glennwanis Hotel,1926,built,hotel was built in 1926,unknown_0
Lisa Marie Simpson,The Simpsons,part_of,Lisa Marie Simpson is a character in The Simpsons,unknown_0
The Simpsons,Simpson family,part_of,The Simpsons is a part of the Simpson family,unknown_0
Matt Groening,The Simpsons,created,Matt Groening created The Simpsons,unknown_0
Matt Groening,Lisa Marie Simpson,created,Matt Groening created Lisa Marie Simpson,unknown_0
The Simpsons,The Tracey Ullman Show,originated_from,The Simpsons originated from The Tracey Ullman Show,unknown_0
Matt Groening,Life in Hell,created,Matt Groening created Life in Hell,unknown_0
James L. Brooks,The Simpsons,involved_in,James L. Brooks was involved in the creation of The Simpsons,unknown_0
Lisa Groening,Matt Groening,inspiration,Lisa Groening was an inspiration for Lisa Marie Simpson,unknown_0
Good Night,The Tracey Ullman Show,part_of,Good Night is a part of The Tracey Ullman Show,unknown_0
"April 19, 1987",Lisa Marie Simpson,first_appearance,"Lisa Marie Simpson first appeared on April 19, 1987",unknown_0
"December 17, 1989",The Simpsons,debut,"The Simpsons debuted on December 17, 1989",unknown_0
Pitch,The Simpsons,involved_in,Matt Groening pitched The Simpsons,unknown_0
Creation,The Simpsons,involved_in,Matt Groening was involved in the creation of The Simpsons,unknown_0
"Marjorie Jacqueline ""Marge"" Simpson",The Simpsons,part_of,Marge is a character in The Simpsons,unknown_0
"Marjorie Jacqueline ""Marge"" Simpson",The Tracey Ullman Show,appeared_on,Marge first appeared on television in The Tracey Ullman Show,unknown_0
Matt Groening,"Marjorie Jacqueline ""Marge"" Simpson",created,Matt Groening created Marge,unknown_0
Matt Groening,The Simpsons,created,Matt Groening created The Simpsons,unknown_0
Life in Hell,Matt Groening,inspired,Life in Hell inspired The Simpsons,unknown_0
Margaret Groening,Matt Groening,inspiration,Margaret Groening was the inspiration for Marge,unknown_0
"April 19, 1987","Marjorie Jacqueline ""Marge"" Simpson",first_appearance,"Marge first appeared on television on April 19, 1987",unknown_0
"December 17, 1989",The Simpsons,debut,"The Simpsons debuted on December 17, 1989",unknown_0
"Bartholomew JoJo ""Bart"" Simpson",The Simpsons,part_of,Bart Simpson is a character in The Simpsons,unknown_0
"Bartholomew JoJo ""Bart"" Simpson",Simpson family,member_of,Bart Simpson is a member of the Simpson family,unknown_0
Nancy Cartwright,"Bartholomew JoJo ""Bart"" Simpson",voiced,Nancy Cartwright voices Bart Simpson,unknown_0
Matt Groening,The Simpsons,created,Matt Groening created The Simpsons,unknown_0
Matt Groening,"Bartholomew JoJo ""Bart"" Simpson",designed,Matt Groening designed Bart Simpson,unknown_0
James L. Brooks,Matt Groening,supervised,James L. Brooks supervised Matt Groening,unknown_0
Life in Hell,Matt Groening,created,Matt Groening created Life in Hell,unknown_0
The Tracey Ullman Show,"Bartholomew JoJo ""Bart"" Simpson",featured,Bart Simpson appeared on The Tracey Ullman Show,unknown_0
Good Night,"Bartholomew JoJo ""Bart"" Simpson",first_appearance,Bart Simpson first appeared on Good Night,unknown_0
"April 19, 1987","Bartholomew JoJo ""Bart"" Simpson",first_appearance_date,"Bart Simpson first appeared on April 19, 1987",unknown_0
brat,"Bartholomew JoJo ""Bart"" Simpson",anagram,Bart Simpson's name is an anagram of the word brat,unknown_0
pitch,Matt Groening,involved,Matt Groening was involved in a pitch,unknown_0
series,The Simpsons,type,The Simpsons is a series,unknown_0
Fox,The Simpsons,broadcasts,The Simpsons is broadcast on Fox,unknown_0
"December 17, 1989",The Simpsons,debut_date,"The Simpsons debuted on December 17, 1989",unknown_0
Allison Beth Goertz,Cossbysweater,creator,Allison Beth Goertz is the creator of the YouTube channel Cossbysweater,unknown_0
Allison Beth Goertz,satirical songs,creator,Allison Beth Goertz creates satirical songs,unknown_0
satirical songs,pop culture,subject,Satirical songs are about pop culture,unknown_0
Allison Beth Goertz,YouTube,user,Allison Beth Goertz uses YouTube to post her satirical songs,unknown_0
The Room,Allison Beth Goertz,subject,The Room is a subject of Allison Beth Goertz's satirical songs,unknown_0
Milhouse,Allison Beth Goertz,subject,Milhouse is a subject of Allison Beth Goertz's satirical songs,unknown_0
Dungeons & Dragons,Allison Beth Goertz,subject,Dungeons & Dragons is a subject of Allison Beth Goertz's satirical songs,unknown_0
Bo Burnham,Allison Beth Goertz,influence,Bo Burnham is an influence on Allison Beth Goertz's style,unknown_0
Rick and Morty,Sad Dance Songs,subject,Rick and Morty is the subject of Allison Beth Goertz's concept album Sad Dance Songs,unknown_0
Sad Dance Songs,Adult Swim,subject,Sad Dance Songs is about the Adult Swim series Rick and Morty,unknown_0
Kickstarter,Sad Dance Songs,funding,Sad Dance Songs was funded through Kickstarter,unknown_0
Everything's Coming Up Podcast,Allison Beth Goertz,co-host,Allison Beth Goertz is a co-host of the podcast Everything's Coming Up Podcast,unknown_0
Everything's Coming Up Podcast,Julia Prescott,co-host,Julia Prescott is a co-host of the podcast Everything's Coming Up Podcast,unknown_0
The Simpsons,Everything's Coming Up Podcast,subject,The Simpsons is the subject of the podcast Everything's Coming Up Podcast,unknown_0
Milhouse Mussolini van Houten,The Simpsons,featured_in,Milhouse is a character in The Simpsons,unknown_0
Milhouse Mussolini van Houten,Pamela Hayden,voiced_by,Pamela Hayden voices Milhouse,unknown_0
Milhouse Mussolini van Houten,Matt Groening,created_by,Matt Groening created Milhouse,unknown_0
Milhouse Mussolini van Houten,Richard Nixon,named_after,Milhouse was named after Richard Nixon's middle name,unknown_0
The Simpsons,Matt Groening,created_by,Matt Groening created The Simpsons,unknown_0
Los Angeles Reader,Chicago Reader,inspired_by,Followed the format of the Chicago Reader,unknown_0
Los Angeles Reader,James Vowell,founded_by,Founded by James Vowell,unknown_0
Los Angeles Reader,Matt Groening,published_work,"Published Matt Groening's cartoon strip, Life in Hell",unknown_0
Los Angeles Reader,David Lynch,published_work,"Published David Lynch's cartoon strip, The Angriest Dog in the World",unknown_0
James Vowell,Matt Groening,hired,Hired Matt Groening as his assistant editor,unknown_0
James Vowell,Los Angeles Reader,owned,Owned the Los Angeles Reader,unknown_0
New Times Media,Los Angeles Reader,acquired,Acquired the Los Angeles Reader,unknown_0
New Times Media,New Times LA,merged_with,Merged the Los Angeles Reader with the Los Angeles View to form New Times LA,unknown_0
Homer Jay Simpson,The Simpsons,protagonist,Homer is the main protagonist of The Simpsons,unknown_0
The Simpsons,Dan Castellaneta,voice_actor,Dan Castellaneta voices Homer,unknown_0
The Simpsons,The Tracey Ullman Show,originated_from,The Simpsons originated from The Tracey Ullman Show,unknown_0
Matt Groening,Homer Jay Simpson,created,Matt Groening created Homer,unknown_0
Matt Groening,The Simpsons,created,Matt Groening created The Simpsons,unknown_0
Matt Groening,James L. Brooks,pitched_to,Matt Groening pitched to James L. Brooks,unknown_0
"April 19, 1987",Homer Jay Simpson,first_appearance,"Homer first appeared on television on April 19, 1987",unknown_0
"December 17, 1989",The Simpsons,debut,"The Simpsons debuted on December 17, 1989",unknown_0
Matt Groening,The Simpsons,created,Creator of The Simpsons,unknown_0
The Simpsons,Fox Broadcasting Company,broadcasted on,American television network that broadcasts The Simpsons,unknown_0
The Simpsons,Springfield,set in,Fictional town in The Simpsons,unknown_0
The Simpsons,Satire,uses,Style of writing or art that uses irony or sarcasm,unknown_0
The Simpsons,American culture,parodies,Cultural practices and values of the United States,unknown_0
The Simpsons,Society,lampoons,System of relationships and interactions between individuals,unknown_0
The Simpsons,Television,uses,Medium for broadcasting visual and audio content,unknown_0
The Simpsons,Video games,inspired,Interactive digital entertainment,unknown_0
The Simpsons,Pinball machines,inspired,Electronic games played on a machine,unknown_0
The Simpsons,Handheld device games,inspired,Games played on portable electronic devices,unknown_0
Bartman: Avenger of Evil,The Simpsons,based on,Video game based on The Simpsons,unknown_0
Bart Simpson's Cupcake Crisis,The Simpsons,based on,Video game based on The Simpsons,unknown_0
The Simpsons Pinball Party,The Simpsons,based on,Pinball machine based on The Simpsons,unknown_0
The Simpsons,Matt Groening,creator,Matt Groening created The Simpsons,unknown_0
The Simpsons,James L. Brooks,producer,James L. Brooks produced The Simpsons,unknown_0
The Simpsons,Sam Simon,developer,Sam Simon developed The Simpsons,unknown_0
"The Simpsons: An Uncensored, Unauthorized History",John Ortved,author,"John Ortved wrote The Simpsons: An Uncensored, Unauthorized History",unknown_0
"The Simpsons: An Uncensored, Unauthorized History",Faber and Faber,publisher,"Faber and Faber published The Simpsons: An Uncensored, Unauthorized History",unknown_0
Oral history,The Simpsons,method,The Simpsons was documented using oral history,unknown_0
Creator,Matt Groening,instance,Matt Groening is an instance of a creator,unknown_0
Success,The Simpsons,achievement,The Simpsons achieved success,unknown_0
The Simpsons,Matt Groening,created_by,Matt Groening created The Simpsons,unknown_0
The Simpsons,Fox Broadcasting Company,aired_on,The Simpsons airs on Fox Broadcasting Company,unknown_0
The Simpsons,The Tracey Ullman Show,originated_from,The Simpsons originated from The Tracey Ullman Show,unknown_0
The Simpsons,Celebrity guest stars,features,The Simpsons features celebrity guest stars,unknown_0
The Simpsons,Season,has,The Simpsons has multiple seasons,unknown_0
The Simpsons,Episode,consists_of,The Simpsons consists of multiple episodes,unknown_0
The Simpsons,Feature film adaptation,has,The Simpsons has a feature film adaptation,unknown_0
Henry Miller,"Moloch: or, This Gentile World",author,Henry Miller wrote the novel,unknown_0
June,"Moloch: or, This Gentile World",author,June wrote the novel under her husband's name,unknown_0
"Moloch: or, This Gentile World",artistic growth,study,the novel is a study of Henry Miller's artistic growth,unknown_0
"Moloch: or, This Gentile World",novel,instance,"Moloch: or, This Gentile World is a novel",unknown_0
Henry Miller,writing,activity,Henry Miller is a writer,unknown_0
Launceston by-election of 1874,Launceston,location,The by-election was held in Launceston,unknown_0
Launceston by-election of 1874,James Henry Deakin (senior),incumbent,The by-election was held due to the void election of the incumbent MP,unknown_0
Launceston by-election of 1874,James Henry Deakin (junior),winner,The by-election was won by James Henry Deakin (junior),unknown_0
James Henry Deakin (senior),Conservative MP,instance,James Henry Deakin (senior) was a Conservative MP,unknown_0
James Henry Deakin (junior),Conservative MP,instance,James Henry Deakin (junior) was a Conservative MP,unknown_0
Anaïs Nin,Incest: From a Journal of Love: The Unexpurgated Diary of Anaïs Nin,author,Anaïs Nin wrote the book,unknown_0
Incest: From a Journal of Love: The Unexpurgated Diary of Anaïs Nin,diary entries,contains,The book contains diary entries,unknown_0
Anaïs Nin,diary entries,writes,Anaïs Nin wrote the diary entries,unknown_0
Anaïs Nin,Henry Miller,related_to,Anaïs Nin had a relationship with Henry Miller,unknown_0
Anaïs Nin,June Miller,related_to,Anaïs Nin had a relationship with June Miller,unknown_0
Anaïs Nin,Otto Rank,related_to,Anaïs Nin had a relationship with Otto Rank,unknown_0
Anaïs Nin,Joaquín Nin,related_to,Anaïs Nin had a relationship with Joaquín Nin,unknown_0
Anaïs Nin,Hugh Parker Guiler,related_to,Anaïs Nin had a relationship with Hugh Parker Guiler,unknown_0
France,Clichy,location,"Much of the diary takes place in Clichy, France",unknown_0
France,Paris,location,"Much of the diary takes place in Paris, France",unknown_0
France,Louveciennes,location,"Much of the diary takes place in Louveciennes, France",unknown_0
James Henry Deakin,Col. James Henry Deakin,parent,son of,unknown_0
James Henry Deakin,Manchester,residence,lived in,unknown_0
Col. James Henry Deakin,Manchester,residence,lived in,unknown_0
James Henry Deakin,British Conservative politician,instance_of,affiliated with,unknown_0
Col. James Henry Deakin,Manchester merchant,instance_of,type of occupation,unknown_0
James Henry Miller,Ewan MacColl,alias,stage name,unknown_0
James Henry Miller,English folk singer,instance_of,type of musician,unknown_0
James Henry Miller,songwriter,instance_of,person who writes songs,unknown_0
James Henry Miller,communist,affiliated_with,ideology,unknown_0
James Henry Miller,labour activist,instance_of,person who advocates for workers' rights,unknown_0
James Henry Miller,actor,instance_of,person who performs in plays or films,unknown_0
James Henry Miller,poet,instance_of,person who writes poetry,unknown_0
James Henry Miller,playwright,instance_of,person who writes plays,unknown_0
James Henry Miller,record producer,instance_of,person who produces music recordings,unknown_0
Margaret Seeger,Ewan MacColl,spouse,was married to,unknown_0
Margaret Seeger,Britain,residence,has lived in,unknown_0
Ewan MacColl,Britain,residence,has lived in,unknown_0
Margaret Seeger,Folksinger,instance,is an example of,unknown_0
Ewan MacColl,Singer,instance,is an example of,unknown_0
Margaret Seeger,Musician,instance,is an example of,unknown_0
Ewan MacColl,Musician,instance,is an example of,unknown_0
Margaret Seeger,Performer,instance,is an example of,unknown_0
Ewan MacColl,Performer,instance,is an example of,unknown_0
Margaret Seeger,Artist,instance,is an example of,unknown_0
Ewan MacColl,Artist,instance,is an example of,unknown_0
Margaret Seeger,Person,instance,is an example of,unknown_0
Ewan MacColl,Person,instance,is an example of,unknown_0
Margaret Seeger,Human,instance,is an example of,unknown_0
Ewan MacColl,Human,instance,is an example of,unknown_0
Margaret Seeger,Living Being,instance,is an example of,unknown_0
Ewan MacColl,Living Being,instance,is an example of,unknown_0
Henry Miller,Henry Miller Memorial Library,associated_with,"Henry Miller was a resident of Big Sur and a friend of Emil White, who built the library in his honor",unknown_0
Emil White,Henry Miller Memorial Library,built,Emil White built the library in the mid-1960s as a memorial to Henry Miller,unknown_0
Henry Miller Memorial Library,Big Sur,located_in,"The library is located in Big Sur, California",unknown_0
Emil White,Henry Miller,friend,Emil White was a friend of Henry Miller,unknown_0
Henry Miller Memorial Library,bookstore,includes,The library includes a bookstore,unknown_0
Henry Miller Memorial Library,performance venue,includes,The library includes a performance venue,unknown_0
Emil White,Henry Miller Memorial Library,founded,Emil White founded the library in 1981,unknown_0
June Miller,Henry Miller,spouse,June Miller was the second wife of Henry Miller,unknown_0
Henry Miller,June Miller,spouse,Henry Miller was the second husband of June Miller,unknown_0
"James Henry Robert Innes-Ker, 6th Duke of Roxburghe","James Henry Robert Innes-Ker, 7th Duke of Roxburghe",became,Inherited title of Duke of Roxburghe,unknown_0
"James Henry Robert Innes-Ker, 6th Duke of Roxburghe",Death,caused,Resulted in the death of the 6th Duke,unknown_0
"James Henry Robert Innes-Ker, 7th Duke of Roxburghe",Duke of Roxburghe,held,Held the title of Duke of Roxburghe,unknown_0
"James Henry Robert Innes-Ker, 7th Duke of Roxburghe",Inheritance,resulted_from,Resulted from the inheritance of the title,unknown_0
James Henry Miller,Australian rules football,played,James Henry Miller played Australian rules football,unknown_0
James Henry Miller,Victorian Football League,member,James Henry Miller was a member of the Victorian Football League,unknown_0
Australian rules football,Victorian Football League,played_in,Australian rules football was played in the Victorian Football League,unknown_0
Cadmium chloride,Crystal structure,has,Cadmium chloride has a crystal structure,unknown_0
Cadmium chloride,Cadmium,composed_of,Cadmium chloride is composed of cadmium,unknown_0
Cadmium chloride,Chlorine,composed_of,Cadmium chloride is composed of chlorine,unknown_0
Cadmium chloride,Ionic bonding,has,Cadmium chloride exhibits ionic bonding,unknown_0
