node,conceptualized_node,node_type
Technology,"field, innovation, science",entity
20%,"percentage, rate, limit",entity
laboratory report,"document, paper, report, study, assessment",entity
EN673,"standard, code, regulation, norm",entity
Recycled Material,"material, product, waste, packaging",entity
Energy-efficient building envelop,"building, envelop, insulation, wall, structure, design",entity
conformance,"compliance, standard, test",entity
Glazing product,"product, material, coating",entity
building,"structure, architecture",entity
EN673 (Glazing) and EN ISO 10077 (Frame / Casement),"standards, regulations, codes",entity
arsenic (As),"metal, element, poison, toxin, chemical",entity
End of life cycle,"product life, cycle phase, end stage, disposal process, life cycle stage",entity
GLAZING,"material, coating, finish",entity
Green Label,"award, label, prize",entity
Certification bodies,"certification, bodies, agencies, organizations, authorities, issuers, verifiers",entity
conduct,"behavior, action, performance",entity
Solar heat gain coefficient,"coefficient, ratio, value, factor, measure",entity
European Union Directive 2001/59/EC,"directive, law, regulation",entity
Website,"online platform, resource, page, portal",entity
Shading Coefficient,"coefficient, value, factor",entity
grade glazing,"glass, material, coating",entity
HKGAS,"company, gas, scheme, laboratory, accreditation, scheme, standard",entity
50 points,"points, score, award",entity
BS EN,"standard, regulation, requirement, norm, specification",entity
compliance with laws and regulations,"regulation, law, standard, requirement, compliance, policy, rule",entity
Shading coefficient,"coefficient, factor, ratio",entity
Glazing Manufacturing,"technology, manufacturing, production, industry, process",entity
Assessment Standard,"standard, measure, guideline",entity
HKAS,"service, accreditation, organization, agency",entity
product functions,"functions, features, capabilities, functions",entity
Certification,"document, verification, process, validation, test, qualification, approval, authentication, recognition",entity
glass,"material, substance, object, thing, product",entity
production documentation,"documentation, records, papers, files, reports",entity
Company,"business, enterprise, corporation, organization, entity",entity
Third-party,"third party, outsider, entity, group, party, affiliation",entity
all relevant quality and performance tests,"tests, reports, results",entity
Thermal Insulation Performance,"performance, rating, assessment, evaluation, standard, measure, metric",entity
Chief Executive Officer,"executive, officer, manager, leader",entity
product manufacturer,"manufacturer, provider, supplier",entity
U-value,"value, measurement, parameter",entity
International Agency for Research on Cancer,"agency, research, institute",entity
carcinogens,"substances, toxins, pollutants",entity
10-year guarantee to the product,"warranty, guarantee, promise",entity
Effective energy management policies and procedures,"policies, procedures, management, efficiency, energy, conservation",entity
Standard,"standard, norm, rule, regulation, law",entity
Table 1,"table, data",entity
laboratory test report,"report, document, result, analysis, data",entity
functions,"functions, warranties, guarantees",entity
assessment,"evaluation, test, examination, appraisal",entity
Visible Light Transmittance,"transmittance, measurement, parameter, value, quality",entity
ISO 8990 or EN-ISO 12567 standard,"standard, regulation, code, guideline",entity
EN ISO 10077,"standard, guideline, regulation, norm, specification",entity
self-declaration letter,"document, letter, declaration, paperwork",entity
resource consumption,"energy, usage, consumption, efficiency, management, reduction, conservation",entity
Green grade,"grade, mark, score, rank, level",entity
Manufacturer,"company, producer, maker",entity
laws and regulations,"rules, standards, guidelines, codes, norms, laws",entity
verification,"process, check, test",entity
Guarantee certificate,"certificate, document, guarantee, warranty",entity
External reflectance,"physics, reflection, factor, property, aspect, characteristic, phenomenon, property",entity
Section 4,"section, part, area",entity
Product manufacturer,"manufacturer, company, supplier",entity
certification,"certification, credential, license, proof, verification, validation, approval",entity
fulfil,"verb, fulfill, meet, comply, requirement",entity
Instructions,"guidelines, rules, directions, manual, guide, documentation",entity
glazing products,"products, materials, finishes",entity
carcinogenic substances,"substances, toxins, chemicals, poisons, pollutants, carcinogens",entity
Verification Laboratory,"laboratory, testing, quality, verification",entity
ASTM E903,"standard, test, method, procedure, guideline, specification",entity
energy-efficient building envelop,"building, envelope, insulation, construction",entity
Public,"people, audience, community",entity
double/triple glazing product,"product, material, component",entity
Product Information,"information, data, details, specs, facts",entity
SHGC,"coefficient, value, measure, rating, standard, metric",entity
guarantee,"promise, warranty, assurance",entity
GWP,"goal, target, limit",entity
tinted glazing product,"product, material, glass",entity
selenium (Se),"metal, element, toxic",entity
$GWP_{100}$,"gwp, gas, emission, climate, unit, metric",entity
authorised personnel,"personnel, officer, executive, authority, person, individual, representative",entity
extra environmental features,"features, functions, technology",entity
Packaging materials,"packaging, materials, packaging, waste, supplies, materials, goods",entity
Test report,"document, report, result, analysis",entity
Laboratory test report(s),"report, document, result, test, analysis",entity
Documentation on packaging materials,"manual, guide, documentation, packaging, information, resource",entity
Construction Industry Council (CIC),"organisation, council, industry, body",entity
chemical tests,"tests, analysis, examination",entity
Materials,"materials, substance, matter, object, goods, products",entity
Surface treatment,"treatment, coating, finish",entity
organotin compounds,"chemicals, compounds, toxins",entity
glazing product to reduce resources used,"product, coating, material, substance, additive",entity
Substances,"chemicals, toxins, compounds, substances, pollutants, hazardous, materials, poisons",entity
A building,"structure, edifice, architecture",entity
glazing product,"product, material, substance, chemical, component",entity
CIC Green Product Certification,"certification, standard, label, rating",entity
Core Criteria,"criteria, standards, requirements, regulations",entity
Customers,"people, users, buyers",entity
Applicable laws or regulations,"laws, regulations, rules, guidelines, code, statute, law, policy",entity
70%,"percentage, rate, threshold",entity
HKGBC,"council, organization, group, association, body",entity
Glass,"material, substance, pane",entity
Clear and tinted float glass,"glass, material, float glass, type, product, component",entity
Laboratory test report,"report, document, record, test result, analysis",entity
Waste management,"waste, recycling, pollution, environment, ecology, conservation",entity
Silver grade,"grade, level, rank, score, achievement",entity
Assessment criteria,"criteria, standards, guidelines, evaluation, metrics, assessment, benchmark",entity
insulating units,"insulators, components, materials",entity
Grades,"grades, scores, marks, rankings, ratings",entity
initiatives,"programs, projects, actions, efforts",entity
Laboratory,"room, space, facility, lab",entity
Hazardous substance emissions,"pollution, emissions, toxins, waste, chemicals, pollutants, contaminants, byproducts",entity
comprised of 100% recycled material or readily recyclable,"materials, packaging, product, goods, items, products",entity
Table 2,"table, surface, furniture",entity
initiatives to reduce energy use and improve energy efficiency,"policies, procedures, management, conservation, efficiency",entity
Construction Industry Council,"industry, council, certification, green, product, standard",entity
provided,"verb, word, language, concept, idea",entity
EN 410,"standard, test, measure",entity
cadmium (Cd),"metal, element, heavy metal, toxin",entity
Product functions generated by technology,"functions, features, product, output, result, result",entity
decomposable,"materials, packaging, product",entity
EN-ISO 12567,"standard, regulation, guideline",entity
IARC,"agency, organization, research, cancer, institution, agency",entity
ISO 17025 certification,"certification, standard, quality, test, laboratory, accreditation",entity
Coated glasses,"glass, coating, glazing, material",entity
Similar products,"products, goods, items, commodities",entity
Packaging Materials,"materials, products, packaging, goods",entity
Glazing Product,"product, material, insulation, window, component",entity
Product Functions,"features, functions, product, features, functions, attributes",entity
"substances listed in IARC Group 1, 2A and 2B","cancer, chemicals, toxins, pollutants, carcinogens",entity
ISO 9050,"standard, regulation, code",entity
compliance,"report, test, requirement, standard",entity
points,"points, scores, marks, ratings, metrics, indicators",entity
Subsequent applications,"applications, products, goods, items, offerings",entity
chromium (Cr),"metal, element, chemical",entity
substances,"materials, chemicals, compounds",entity
Hong Kong Green Building Council (HKGBC),"organization, council, group, body, association",entity
Platinum,"metal, element, alloy, precious metal",entity
other authorised representative,"representative, person, official, agent",entity
Glass manufacturer,"manufacturer, company, producer, supplier",entity
Guarantee,"warranty, promise, assurance, pledge, commitment",entity
EU Eco-Management and Audit Scheme (EMAS),"scheme, standard, certification, management, audit, regulation, policy",entity
recyclable,"material, product, packaging",entity
The Scheme,"standard, criteria, benchmark",entity
third party,"third party, intermediary, outsider",entity
Benchmarks,"criteria, standard, measure, evaluation, rating, score",entity
information,"data, content, knowledge",entity
Spectral measurements,"measurements, data, analysis, testing",entity
Energy,"power, energy",entity
product packaging information,"information, details, data",entity
equation below,"math, formula, equation, expression, coefficient",entity
EN 410 or ISO 9050 standard,"standard, norm, regulation",entity
Third party,"party, outsider, observer, mediator, intermediary, neutral, independent",entity
Platinum grade,"grade, level, standard, rating, category, award",entity
ISO14001 certification,"certification, standard, regulation, quality, management",entity
Non-core Criteria,"criteria, standards, requirements, rules",entity
Technologies,"technologies, innovations, products, solutions, systems, advancements, progress",entity
Laboratory report,"document, report, paper, study, analysis",entity
manufacturer,"company, producer, supplier",entity
assessment criteria,"standards, criteria, measures, benchmarks, evaluation",entity
Laminated glass,"glass, material, product",entity
Energy consumption,"consumption, usage, energy, power",entity
verification methods,"methods, standards, process",entity
in 100 years,"target, goal, timeframe",entity
Glass used for internal partitions,"glass, partition, divider",entity
ISO 8990,"standard, norm, regulation, specification",entity
up-to-date,"current, status, version, state, information",entity
standards,"quality, criteria, norms",entity
toxic heavy metals,"metals, pollutants, toxins, chemicals",entity
Test Reports,"document, report, test result, lab report, record, data",entity
Scheme,"industry, organization, company",entity
mercury (Hg),"metal, element, chemical, heavy metal, toxic substance",entity
Test Report,"document, report, test, result, data",entity
No Label,"wine, brewery, winery, label, producer",entity
laboratory test report(s),"report, document, record, data, information, test result, analysis",entity
label,"label, sticker, tag",entity
Cooling Load,"load, heat, energy, demand",entity
antimony (Sb),"element, metal, poison",entity
Products,"grade, goods, items, products, merchandise, commodities",entity
ISO17025 certification,"certification, standard, accreditation, laboratory, testing, quality",entity
Targets,"targets, goal, objective, standard, criteria, requirement, standard",entity
detailed plan(s),"plan, strategy, blueprint",entity
Environmental impacts,"pollution, impact, effect, damage, harm, issue, concern, risk",entity
Standards,"rules, regulations, guidelines, norms, criteria",entity
ISO,"organisation, standard, certification, body, institution",entity
Each application,"application, request, submission, proposal",entity
Product,"product, item, goods, commodity, merchandise",entity
Visible light transmittance,"transmittance, light, percentage, measure, factor, property, characteristic, attribute, parameter",entity
chlorinated / brominated paraffins,"chemicals, compounds, pollutants, pollutants, substances",entity
Manufacturers,"companies, producers, makers",entity
Secondary environmental load,"load, pollution, impact, waste, emissions",entity
cobalt (Co),"metal, element, substance, chemical",entity
Green,"color, label, brand",entity
evaluation criteria,"criteria, standards, metrics, assessment, judgment, rating, scoring",entity
Halogenated Plastics,"plastic, material, chemical",entity
Instructions on installation,"manual, guide, documentation",entity
phthalates or polybrominated diphenylethers,"chemicals, toxins, pollutants",entity
Extra environmental features,"features, functionality, technology",entity
Labels,"awards, prizes, competition",entity
meeting all minimum requirements,"requirements, criteria, standards, conditions",entity
halogenated plastics,"polymers, chemicals, materials",entity
Product Packaging,"packaging, material, product, container, design",entity
Tempered glass,"glass, material, product, coating, layer, cover",entity
Production documentation,"documentation, record, process, paper, file",entity
Performance,"test, evaluation, assessment, measurement, benchmark, check, trial",entity
The product,"product, goods, commodity, item",entity
polybrominated diphenyl ethers,"chemicals, compounds, toxins",entity
China National Accreditation Service for Conformity Assessment,"organization, agency, accreditation, certification, service",entity
conducted,"verb, action, process",entity
possess,"verb, word, language",entity
filler gases,"gases, materials",entity
HKGBC Green Product Accreditation and Standards [HK G-PASS],"accreditation, standard, certification, rating, label, mark",entity
ISO14001 or EMAS certificate,"certificate, standard, regulation, compliance, certification",entity
CO2 emissions,"emissions, pollution, carbon, greenhouse, climate, footprint",entity
implemented,"carried out, put into effect, executed, enforced",relation
according,"match, agree, correspond, align, conform",relation
shall meet the limits below,"adhere to, comply with, meet, follow, observe",relation
shall be less than,"less than, smaller than, smaller, under, below",relation
shall,"must, will, should, ought to, have to",relation
write,"create, compose, pen, draft, scribble",relation
modifies,"alters, changes, affects, impacts, influences",relation
based on,"build on, rely on, stem from, derive from, grounded in",relation
and,"combine, join, unite",relation
are obtained by,"derived from, result of, come from, originate, stem from",relation
not contain,"lack, exclude, omit, withhold, leave out",relation
submit,"offer, provide, send, present",relation
evaluate,"assess, judge, critique, examine, analyze",relation
used in,"utilized, employed, incorporated, featured, referenced",relation
should be measured according to,"be judged by, evaluated by, assessed against, measured against, determined by",relation
supersedes,"replace, outdate, obsolete, update, replace",relation
should,"ought, must, supposed to, required, mandatory, need",relation
involves,"encompass, comprise, include, contain, consist of",relation
contain,"hold, encompass, comprise, incorporate, enclose",relation
can be converted according to,"be adjusted to, be modified to, transform into, change to, convert from",relation
covering,"encompass, enclose, surround, overlay, veil",relation
not use,"abstain, avoid, decline, refuse, eschew",relation
reduce,"decrease, lessen, minimize",relation
generate,"create, produce, bring forth, yield, give rise to",relation
uses,"utilize, employ, leverage, adopt, exploit",relation
provide,"offer, supply, donate, furnish",relation
be,"exist, constitute, make up, comprise, represent",relation
in order to,"purpose, aim, goal, objective, intention, reason",relation
required for,"necessary, prerequisite, needed, essential, mandatory",relation
has,"own, possess, contain, hold, have",relation
apply,"use, submit, put in, impose, enact",relation
demonstrate,"show, exhibit, display, present, illustrate",relation
award,"praise, honor, recognize, reward, give",relation
shall be greater than,"exceed, surpass, outdo, outrank, outperform",relation
issued by,"created, published, produced, emitted",relation
after,"follow, succeed, precede, come next, follow up",relation
are used to,"used for, designed for, intended for, meant for, purposed for",relation
publishes,"releases, distributes, disseminates, circulates, spreads",relation
determine,"decide, influence, affect, impact, shape",relation
shall not contain,"exclude, omit, leave out",relation
lays down,"prescribes, stipulates, mandates, regulates",relation
applicable,"relevant, valid, suitable, fitting, pertinent",relation
can be calculated according to,"derived from, determined by, calculated from, based on, computed from",relation
owned,"possess, have, belong to, possess, have, hold, keep, retain, contain, comprise",relation
used,"utilized, employed, applied, adopted, utilized",relation
owns,"possess, have, control, possess, holds, contains",relation
shall comply with,"obey, follow, adhere, conform, meet requirements",relation
embed,"contain, insert, enclose",relation
includes,"contains, comprises, embodies",relation
is,"exist, be, belong, constitute, represent",relation
formerly known as,"was called, renamed from, previously known as, known as, formerly",relation
at the same time,"simultaneously, concurrently, jointly, in parallel, simultaneously",relation
include,"contain, comprise, embody, encompass, hold",relation
endorse,"support, back, approve, sanction",relation
is participated by,"acted by, featured in, hosted by",relation
for,"purpose, intention, reason, aim",relation
shall be,"will be, must be, should be, have to be, need to be",relation
accumulate,"gather, collect, add up, amass",relation
defines,"describe, explain, clarify, specify",relation
before,"precede, lead, precede, antecedent, prior to",relation
must,"require, need, necessity, obligation, duty",relation
require,"need, demand, necessitate, call for, entail",relation
assesses,"evaluate, judge, rate, measure",relation
transfer,"move, shift, relocate, give, pass, hand over",relation
shall be ≤ 5,"limit, constraint, bound, cap, threshold",relation
awards,"honor, recognition, accolades",relation
sets,"collections, groups, assemblies, aggregates, ensembles",relation
as a result,"consequence, outcome, effect, result, follow, lead",relation
promote,"advertise, endorse, support, boost",relation
is awarded to,"receive, get, earn, grant, bestow",relation
should be measured in accordance with,"comply with, follow, adhere to, align with, conform to",relation
be classified,"categorized, classified, grouped, sorted, labeled",relation
minimise,"reduce, lessen, decrease",relation
applies to,"covers, pertains to, relates to, relevant to, concerns",relation
requires,"need, demand, necessitate, necessitation, obligation",relation
because,"since, due to, owing to, on account of, as a result of",relation
meet,"confront, encounter, bump into, cross paths, run into",relation
enable,"make possible, facilitate, empower",relation
